"","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","case","death"
"117","2020-06-10",-22,-1,78,-51,-42,15,545,35
"118","2020-06-11",-21,0,100,-50,-41,15,409,60
"119","2020-06-12",-25,-2,89,-49,-40,14,472,62
"120","2020-06-13",-25,-3,111,-36,-8,6,405,35
"121","2020-06-14",-22,-7,142,-37,-7,4,413,53
"122","2020-06-15",-18,0,104,-49,-41,13,467,58
"123","2020-06-16",-18,3,136,-47,-40,13,377,39
"124","2020-06-17",-19,2,123,-47,-41,13,360,29
"125","2020-06-18",-17,5,139,-47,-40,13,320,38
"126","2020-06-19",-21,4,128,-45,-40,11,386,41
"127","2020-06-20",-22,3,135,-34,-6,4,367,46
"128","2020-06-21",-17,-2,149,-35,-2,1,409,46
"129","2020-06-22",-16,0,119,-47,-42,12,390,63
"130","2020-06-23",-17,6,95,-48,-42,12,318,17
"131","2020-06-24",-23,-8,122,-49,-49,15,300,6
"132","2020-06-25",-13,7,142,-44,-40,12,326,18
"133","2020-06-26",-20,1,129,-42,-39,11,279,29
"134","2020-06-27",-21,-1,117,-31,-8,5,380,20
"135","2020-06-28",-17,-5,153,-32,-4,2,172,4
"136","2020-06-29",-9,5,137,-46,-42,11,238,7
"137","2020-06-30",-2,21,133,-44,-41,10,218,6
"138","2020-07-01",-34,-16,234,-55,-67,16,668,44
"139","2020-07-02",-9,11,134,-46,-44,11,286,24
"140","2020-07-03",-15,6,151,-45,-47,12,0,3
"141","2020-07-04",-19,-1,183,-31,-8,3,567,47
"142","2020-07-05",-13,-3,190,-30,-6,0,319,21
"143","2020-07-06",-9,5,156,-45,-42,10,226,11
"144","2020-07-07",-12,6,136,-46,-42,11,219,10
"145","2020-07-08",-12,5,116,-46,-41,12,399,9
"146","2020-07-09",-11,6,136,-45,-40,11,232,18
"147","2020-07-10",-18,1,136,-44,-40,11,267,26
"148","2020-07-11",-20,-2,97,-37,-7,5,371,11
"149","2020-07-12",-12,-2,169,-31,-5,1,321,11
"150","2020-07-13",-10,3,150,-46,-42,10,221,14
"151","2020-07-14",-11,5,165,-46,-41,11,244,10
"152","2020-07-15",-10,5,159,-45,-40,10,565,6
"153","2020-07-16",-11,5,114,-47,-40,11,331,8
"154","2020-07-17",-15,4,141,-44,-40,10,341,12
"155","2020-07-18",-18,1,193,-29,-6,2,437,17
"156","2020-07-19",-15,-4,154,-34,-7,1,405,12
"157","2020-07-20",-7,7,183,-45,-43,10,330,9
"158","2020-07-21",-10,7,189,-46,-43,10,339,4
"159","2020-07-22",-12,4,134,-47,-42,11,786,6
"160","2020-07-23",-10,6,157,-46,-41,11,571,4
"161","2020-07-24",-17,2,162,-44,-41,10,543,8
"162","2020-07-25",-18,-1,201,-29,-6,2,432,4
"163","2020-07-26",-12,-3,191,-31,-6,0,534,7
"164","2020-07-27",-10,4,145,-47,-45,11,350,4
"165","2020-07-28",-10,7,182,-47,-43,10,355,4
"166","2020-07-29",-9,7,157,-45,-43,11,686,11
"167","2020-07-30",-7,9,171,-45,-43,10,396,11
"168","2020-07-31",-13,7,174,-41,-43,9,412,7
"169","2020-08-01",-17,0,211,-28,-9,1,393,10
"170","2020-08-02",-13,-4,151,-36,-11,1,513,6
"171","2020-08-03",-17,-8,209,-54,-66,14,287,6
"172","2020-08-04",-12,5,107,-48,-44,11,285,4
"173","2020-08-05",-7,8,164,-43,-42,10,147,2
"174","2020-08-06",-8,6,176,-44,-42,10,760,11
"175","2020-08-07",-16,0,155,-43,-41,9,395,4
"176","2020-08-08",-16,-2,197,-29,-6,1,374,4
"177","2020-08-09",-11,-4,187,-30,-6,0,424,4
"178","2020-08-10",-8,2,169,-46,-42,9,236,6
"179","2020-08-11",-11,3,147,-47,-41,10,230,5
"180","2020-08-12",-9,4,170,-44,-41,9,681,6
"181","2020-08-13",-8,4,178,-44,-41,9,289,4
"182","2020-08-14",-14,1,164,-42,-40,9,423,15
"183","2020-08-15",-15,-1,202,-28,-6,1,405,9
"184","2020-08-16",-10,-3,188,-30,-7,-1,418,5
"185","2020-08-17",-10,1,139,-47,-42,9,237,4
"186","2020-08-18",-10,3,153,-46,-40,10,198,2
"187","2020-08-19",-10,2,155,-44,-40,9,785,6
"188","2020-08-20",-7,4,143,-44,-40,9,282,13
"189","2020-08-21",-15,0,125,-43,-39,9,336,5
"190","2020-08-22",-15,-2,184,-28,-6,1,383,4
"191","2020-08-23",-10,-3,169,-30,-5,0,499,10
"192","2020-08-24",-9,0,134,-46,-41,9,257,7
"193","2020-08-25",-10,4,145,-45,-39,9,267,2
"194","2020-08-26",-9,2,126,-44,-39,9,750,10
"195","2020-08-27",-7,4,134,-43,-38,9,323,7
"196","2020-08-28",-14,0,134,-41,-38,8,448,4
"197","2020-08-29",-16,-2,97,-33,-7,3,431,8
"198","2020-08-30",-7,0,152,-28,-5,0,462,11
"199","2020-08-31",-7,3,131,-42,-39,8,363,0
"200","2020-09-01",-8,5,122,-42,-39,9,267,4
"201","2020-09-02",-10,1,88,-44,-39,10,1008,9
"202","2020-09-03",-8,3,138,-41,-38,8,477,6
"203","2020-09-04",-11,4,134,-39,-38,7,498,3
"204","2020-09-05",-13,1,163,-28,-9,1,570,6
"205","2020-09-06",-2,2,212,-28,-8,-1,631,1
"206","2020-09-07",-33,-29,146,-60,-77,17,371,2
"207","2020-09-08",-9,11,81,-44,-39,9,400,1
"208","2020-09-09",-12,2,84,-44,-37,9,247,1
"209","2020-09-10",-10,2,96,-43,-37,9,1606,7
"210","2020-09-11",-14,-1,107,-41,-35,8,546,2
"211","2020-09-12",-12,0,133,-29,-4,2,630,8
"212","2020-09-13",-12,-3,77,-36,-6,2,702,1
"213","2020-09-14",-11,-2,78,-45,-34,9,515,6
"214","2020-09-15",-11,1,80,-45,-33,9,518,1
"215","2020-09-16",-13,-3,90,-43,-34,9,1351,8
"216","2020-09-17",-12,-2,89,-44,-34,9,793,9
"217","2020-09-18",-14,-3,74,-43,-32,9,944,5
"218","2020-09-19",-13,-1,102,-33,-4,3,1120,7
